author_id,work_id,book,testament_group,osis_ref,passage
origen,against_celsus,Ps,old_testament_or_other,Bible:Ps.95.5 Bible:Ps.96.5,"Ps. xcv. 5
(LXX.); xcvi. 5"
origen,against_celsus,John,new_testament,Bible:John.10.8-John.10.10,John x. 8–10
origen,against_celsus,Ps,old_testament_or_other,Bible:Ps.91.13,Ps. xci. 13
origen,against_celsus,2Cor,new_testament,Bible:2Cor.5.20,2 Cor. v. 20
origen,against_celsus,Ps,old_testament_or_other,Bible:Ps.24.8,Ps. xxiv. 8
origen,against_celsus,Matt,new_testament,Bible:Matt.6.24,Matt. vi. 24
origen,against_celsus,Ps,old_testament_or_other,Bible:Ps.97.9,Ps. xcvii. 9
origen,against_celsus,Ps,old_testament_or_other,Bible:Ps.50.1,Ps. l. 1
origen,against_celsus,Ps,old_testament_or_other,Bible:Ps.136.2,Ps. cxxxvi. 2
origen,against_celsus,Matt,new_testament,Bible:Matt.22.32,Matt. xxii. 32
origen,against_celsus,1Cor,new_testament,Bible:1Cor.8.5,1 Cor. viii. 5
origen,against_celsus,2Cor,new_testament,Bible:2Cor.11.14,2 Cor. xi. 14
origen,against_celsus,Rom,new_testament,Bible:Rom.8.19-Rom.8.20,"Rom. viii. 19, 20"
origen,against_celsus,Heb,new_testament,Bible:Heb.12.22-Heb.12.23,"Heb. xii. 22, 23"
origen,against_celsus,John,new_testament,Bible:John.5.23,John v. 23
origen,against_celsus,Rom,new_testament,Bible:Rom.2.23,Rom. ii. 23
origen,against_celsus,Heb,new_testament,Bible:Heb.10.29,Heb. x. 29
origen,against_celsus,John,new_testament,Bible:John.10.30,John x. 30
origen,against_celsus,John,new_testament,Bible:John.17.22,John xvii. 22
origen,against_celsus,John,new_testament,Bible:John.14.11 Bible:John.17.21,"John xiv. 11, and xvii. 21"
origen,against_celsus,Acts,new_testament,Bible:Acts.4.32,Acts iv. 32
origen,against_celsus,John,new_testament,Bible:John.8.58,John viii. 58
origen,against_celsus,Heb,new_testament,Bible:Heb.1.3,Heb. i. 3
origen,against_celsus,Wis,deuterocanonical,Bible:Wis.7.25-Wis.7.26,"Wisd. vii. 25, 26"
origen,against_celsus,John,new_testament,Bible:John.14.27,John xiv. 27
origen,against_celsus,John,new_testament,Bible:John.14.28,John xiv. 28
origen,against_celsus,Rev,new_testament,Bible:Rev.5.8,Rev. v. 8
origen,against_celsus,2Cor,new_testament,Bible:2Cor.6.16,2 Cor. vi. 16
origen,against_celsus,John,new_testament,Bible:John.14.23,John xiv. 23
origen,against_celsus,John,new_testament,Bible:John.2.19 Bible:John.2.21,"John ii. 19, 21"
origen,against_celsus,1Pet,new_testament,Bible:1Pet.2.5,1 Pet. ii. 5
origen,against_celsus,Eph,new_testament,Bible:Eph.2.20,Eph. ii. 20
origen,against_celsus,Isa,old_testament_or_other,Bible:Isa.54.11-Isa.54.14,Isa. liv. 11–14
origen,against_celsus,Gal,new_testament,Bible:Gal.4.10-Gal.4.11,"Gal. iv. 10, 11"
origen,against_celsus,Col,new_testament,Bible:Col.2.16,Col. ii. 16
origen,against_celsus,Deut,old_testament_or_other,Bible:Deut.16.3,Deut. xvi. 3
origen,against_celsus,Exod,old_testament_or_other,Bible:Exod.12.8,Ex. xii. 8
origen,against_celsus,Lev,old_testament_or_other,Bible:Lev.16.29,Lev. xvi. 29
origen,against_celsus,Gal,new_testament,Bible:Gal.5.17,Gal. v. 17
origen,against_celsus,1Cor,new_testament,Bible:1Cor.8.4 Bible:1Cor.8.11,"1 Cor. viii. 4, 11"
origen,against_celsus,Ps,old_testament_or_other,Bible:Ps.27.1 Bible:Ps.27.3,"Ps. xxvii. 1, 3"
origen,against_celsus,Rom,new_testament,Bible:Rom.14.21,Rom. xiv. 21
origen,against_celsus,Rom,new_testament,Bible:Rom.14.15,Rom. xiv. 15
origen,against_celsus,1Cor,new_testament,Bible:1Cor.8.13,1 Cor. viii. 13
origen,against_celsus,Matt,new_testament,Bible:Matt.15.11 Bible:Matt.15.17-Matt.15.19,"Matt. xv. 11, 17–19"
origen,against_celsus,1Cor,new_testament,Bible:1Cor.8.8,1 Cor. viii. 8
origen,against_celsus,Acts,new_testament,Bible:Acts.15.28-Acts.15.29,"Acts xv. 28, 29"
origen,against_celsus,1Cor,new_testament,Bible:1Cor.15.35,1 Cor. xv. 35
origen,against_celsus,Ps,old_testament_or_other,Bible:Ps.78.49,Ps. lxxviii. 49
origen,against_celsus,1Cor,new_testament,Bible:1Cor.10.31,1 Cor. x. 31
origen,against_celsus,Col,new_testament,Bible:Col.3.17,Col. iii. 17
origen,against_celsus,1Tim,new_testament,Bible:1Tim.4.4-1Tim.4.5,"1 Tim. iv. 4, 5"
origen,against_celsus,Gen,old_testament_or_other,Bible:Gen.1.11,Gen. i. 11
origen,against_celsus,Heb,new_testament,Bible:Heb.4.14,Heb. iv. 14
origen,against_celsus,Eph,new_testament,Bible:Eph.6.11,Eph. vi. 11
origen,against_celsus,Eph,new_testament,Bible:Eph.6.12,Eph. vi. 12
origen,against_celsus,Matt,new_testament,Bible:Matt.5.44-Matt.5.45,"Matt. v. 44, 45"
origen,against_celsus,John,new_testament,Bible:John.14.30,John xiv. 30
origen,against_celsus,Exod,old_testament_or_other,Bible:Exod.22.28,Ex. xxii. 28
origen,against_celsus,Rom,new_testament,Bible:Rom.12.14,Rom. xii. 14
origen,against_celsus,1Cor,new_testament,Bible:1Cor.6.10,1 Cor. vi. 10
origen,against_celsus,Deut,old_testament_or_other,Bible:Deut.24.16,Deut. xxiv. 16
origen,against_celsus,Jer,old_testament_or_other,Bible:Jer.31.30,Jer. xxxi. 30
origen,against_celsus,Ezek,old_testament_or_other,Bible:Ezek.18.20,Ezek. xviii. 20
origen,against_celsus,Exod,old_testament_or_other,Bible:Exod.20.5,Ex. xx. 5
origen,against_celsus,Ezek,old_testament_or_other,Bible:Ezek.18.2-Ezek.18.4,Ezek. xviii. 2–4
origen,against_celsus,Luke,new_testament,Bible:Luke.23.21 Bible:Luke.23.25,"Luke xxiii. 21, 25"
origen,against_celsus,John,new_testament,Bible:John.12.24,John xii. 24
origen,against_celsus,Rom,new_testament,Bible:Rom.8.32,Rom. viii. 32
origen,against_celsus,Isa,old_testament_or_other,Bible:Isa.38.19,Isa. xxxviii. 19
origen,against_celsus,2Kgs,old_testament_or_other,Bible:2Kgs.4.17,2 Kings iv. 17
origen,against_celsus,Sir,deuterocanonical,Bible:Sir.10.19,Ecclus. x. 19
origen,against_celsus,Eccl,old_testament_or_other,Bible:Eccl.8.11,Eccles. viii. 11
origen,against_celsus,Lam,old_testament_or_other,Bible:Lam.3.34,Lam. iii. 34
origen,against_celsus,Ps,old_testament_or_other,Bible:Ps.2.3,Ps. ii. 3
